url,netname
http://45.82.13.158/sl6.exe,GIR_SER-NET
http://85.209.176.46/onNRbDtEslIgGZXX169.bin,Virtuo
http://45.166.185.4:61123/.i,348208
http://106.58.21.83:57945/.i,CHINANET-YN
http://123.185.91.166:22493/.i,CHINANET-LN
http://114.239.108.26:55661/.i,CHINANET-JS
http://223.12.201.174:8065/.i,sxtybas
http://180.115.162.143:26711/.i,CHINANET-JS
http://58.47.17.109:27863/.i,CHINANET-HN
http://110.182.224.8:58690/.i,sxlfbas
http://223.13.27.126:6297/.i,CHINANET-SX
http://110.180.165.69:53973/.i,sxdtbas
http://175.31.189.168:8152/.i,CHINANET-JL
http://223.151.74.187:16937/.i,CHINANET-HN
http://113.26.154.18:13603/.i,sxyqbas
http://49.64.216.157:39795/.i,CHINANET-JS
http://180.117.251.155:47039/.i,CHINANET-JS
http://111.70.37.144:1455/.i,EMOME-NET
http://114.239.146.196:28959/.i,CHINANET-JS
http://113.24.184.186:58934/.i,sxczbas
http://58.47.8.130:49173/.i,CHINANET-HN
http://223.8.236.198:5145/.i,CHINANET-SX
http://117.95.219.190:13561/.i,CHINANET-JS
http://110.181.114.135:42502/.i,sxdtbas
http://123.173.91.60:6593/.i,CHINANET-JL
http://110.183.49.152:51561/.i,sxxzbas
http://106.41.51.224:4602/.i,CHINANET-HN
http://180.116.90.116:50900/.i,CHINANET-JS
http://79.33.207.136:36361/.i,TELECOM-ADSL-POOL
http://123.175.66.120:1109/.i,sxszbas
http://124.234.239.203:31876/.i,CHINANET-JL
http://180.110.220.217:48208/.i,CHINANET-JS
http://113.24.128.245:22817/.i,sxczbas
http://189.141.117.214:53729/.i,
http://1.70.82.36:42362/.i,CHINANET-SX
http://111.70.30.157:40174/.i,EMOME-NET
http://223.9.127.207:40062/.i,sxdtbas
http://1.69.100.220:2363/.i,CHINANET-SX
http://1.69.41.214:47371/.i,CHINANET-SX
http://36.97.200.114:28252/.i,CHINANET-ZJ
http://223.8.206.97:18368/.i,CHINANET-SX
http://223.9.146.65:18919/.i,sxdtbas
http://110.182.169.34:51170/.i,sxlfbas
http://175.30.111.71:29977/.i,CHINANET-JL
http://180.125.113.108:21752/.i,CHINANET-JS
http://58.209.211.89:15039/.i,CHINANET-JS
http://123.175.101.113:25239/.i,sxtybas
http://222.246.113.34:5245/.i,CHINANET-HN
http://117.91.233.133:1214/.i,CHINANET-JS
http://1.69.72.153:47007/.i,CHINANET-SX
http://124.234.158.88:5502/.i,CHINANET-JL
http://121.238.246.215:33608/.i,CHINANET-JS
http://1.69.73.123:28091/.i,CHINANET-SX
http://123.172.50.31:10796/.i,CHINANET-JL
http://175.31.228.150:3813/.i,CHINANET-JL
http://1.70.171.35:6677/.i,CHINANET-SX
http://110.182.173.149:2044/.i,sxlfbas
http://50.168.161.19:1954/.i,ATLANTA-CCS-1
http://1.69.5.26:57928/.i,CHINANET-SX
http://124.234.239.232:5835/.i,CHINANET-JL
http://175.30.75.140:37890/.i,CHINANET-JL
http://58.47.105.122:12634/.i,CHINANET-HN
