sigh.press,[Errno 11001] getaddrinfo failed
madnessporn.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
yydzh.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
filmespornos.blog.br,[Errno 11002] getaddrinfo failed
harikonotora.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'harikonotora.net'. (_ssl.c:1129)"
moneygazelle.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'moneygazelle.com'. (_ssl.c:1129)"
mrvine.co,timed out
topbestgames.com,timed out
300mbmovies4u.lol,[Errno 11001] getaddrinfo failed
aolcdn.com,[Errno 11001] getaddrinfo failed
uraltrack.net,_ssl.c:1112: The handshake operation timed out
amaebi.net,timed out
mail.mil,[Errno 11001] getaddrinfo failed
sampo.ru,timed out
tkgm.gov.tr,[Errno 11002] getaddrinfo failed
mporg.ir,timed out
88dushu.com,timed out
wxphp.com,[Errno 11001] getaddrinfo failed
0azx1.com,[Errno 11001] getaddrinfo failed
partnercardbillpay.com,[Errno 11001] getaddrinfo failed
topload.pro,[Errno 11001] getaddrinfo failed
cne.gov.ve,timed out
ntust.edu.tw,timed out
airdates.tv,timed out
searchetan.com,[Errno 11001] getaddrinfo failed
5669.com,[Errno 11001] getaddrinfo failed
immi-moj.go.jp,[Errno 11001] getaddrinfo failed
epfoservices.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
cinemalibero.tv,[Errno 11001] getaddrinfo failed
kinnser.net,timed out
bancoazteca.com.mx,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
comtaxup.gov.in,timed out
dubbedanime.net,[Errno 11001] getaddrinfo failed
freeml.com,[Errno 11001] getaddrinfo failed
sierblog.com,timed out
politros.com,[Errno 11002] getaddrinfo failed
twinkboyfriends.tv,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'twinkboyfriends.tv'. (_ssl.c:1129)"
cdnmoa.com,[Errno 11001] getaddrinfo failed
hime-book.net,timed out
edumsko.ru,timed out
ebaystatic.com,[Errno 11001] getaddrinfo failed
fromtexttospeech.com,timed out
mobirum.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
miimd.com,timed out
view-pdf.com,timed out
haibao.com,timed out
hepfullfilmizle.com,timed out
52down.com,timed out
postgresql.jp,[Errno 11001] getaddrinfo failed
kijomatomelog.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
tirumala.org,timed out
38mama.ru,timed out
sztb.gov.cn,[Errno 11001] getaddrinfo failed
cotemaison.fr,[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1129)
dingsheng.com,[Errno 11001] getaddrinfo failed
hoi4wiki.com,timed out
amazeui.org,[Errno 11001] getaddrinfo failed
bthai.net,[Errno 11001] getaddrinfo failed
searchtab.win,[Errno 11001] getaddrinfo failed
kkb.kz,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kkb.kz'. (_ssl.c:1129)"
danielcelulares.com.br,[Errno 11001] getaddrinfo failed
phdowns.net,[Errno 11001] getaddrinfo failed
bvd2.nl,timed out
fullxxxmovies.net,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
hrssgz.gov.cn,timed out
tvpoolonline.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tvpoolonline.com'. (_ssl.c:1129)"
flenix.net,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
imgrum.me,[Errno 11001] getaddrinfo failed
getpromo2017.info,[Errno 11001] getaddrinfo failed
chromeexperiments.com,[Errno 2] No such file or directory
searche-engine.ru,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'searche-engine.ru'. (_ssl.c:1129)"
turn.com,[Errno 11001] getaddrinfo failed
pornzog.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
articulty.com,timed out
super-birds.com,[Errno 11001] getaddrinfo failed
soscasa.tv,[Errno 11001] getaddrinfo failed
go007.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
wz.cz,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'wz.cz'. (_ssl.c:1129)"
hokkaido.jp,[Errno 11001] getaddrinfo failed
myvoffice.com,[Errno 11001] getaddrinfo failed
qiau.ac.ir,timed out
pondiuni.edu.in,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pondiuni.edu.in'. (_ssl.c:1129)"
foal.space,[Errno 11001] getaddrinfo failed
xlpu.cc,[Errno 11001] getaddrinfo failed
icq100.com,timed out
peperonity.com,timed out
cinesunidos.com,[Errno 11001] getaddrinfo failed
omnivox.ca,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'omnivox.ca'. (_ssl.c:1129)"
newestxxx.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
lesco.gov.pk,timed out
chicksontheright.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
mytoys.ru,timed out
tataindicom.com,timed out
educacion.gob.es,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'educacion.gob.es'. (_ssl.c:1129)"
alibaba.net,[Errno 11002] getaddrinfo failed
esic.nic.in,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
zqzz.com,timed out
vbird.org,[Errno 11001] getaddrinfo failed
u-strasbg.fr,[Errno 11001] getaddrinfo failed
ymmfa.com,timed out
iranfile.ir,_ssl.c:1112: The handshake operation timed out
sharafdg.com,timed out
awogbtinorwx.com,[Errno 11001] getaddrinfo failed
freenoob.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'freenoob.com'. (_ssl.c:1129)"
ad1.ru,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
cput.ac.za,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cput.ac.za'. (_ssl.c:1129)"
tangdou.com,timed out
zxjsq.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'zxjsq.net'. (_ssl.c:1129)"
2kporns4u.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
