kibeloco.com.br,timed out
jianpu.cn,timed out
applypanonline.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'applypanonline.com'. (_ssl.c:1129)"
covjoecuzyss.com,[Errno 11001] getaddrinfo failed
cidianwang.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cidianwang.com'. (_ssl.c:1129)"
palomar.edu,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'palomar.edu'. (_ssl.c:1129)"
adcy.net,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
zhiyin.cn,[Errno 11001] getaddrinfo failed
daihatsu.co.jp,[Errno 11001] getaddrinfo failed
mediaonetv.in,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
keywordspy.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
trackster.org,timed out
mofosnetwork.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
youramateurporn.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
echourouqmedia.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'echourouqmedia.net'. (_ssl.c:1129)"
flixpress.com,[Errno 11001] getaddrinfo failed
unisa.it,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
spaceshipads.com,[Errno 11001] getaddrinfo failed
shejipi.com,[Errno 11001] getaddrinfo failed
flixanity.online,[Errno 11001] getaddrinfo failed
2670.com,[Errno 11001] getaddrinfo failed
friu.pw,[Errno 11001] getaddrinfo failed
hindimovies2017.com,[Errno 11001] getaddrinfo failed
kinghost.com,timed out
filmesonlinegratis.club,[Errno 11001] getaddrinfo failed
docplayer.ru,[Errno 11001] getaddrinfo failed
